Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región de Ñuble,quirihue,3040,3266039035564462,1080,31783,800,6235,00,00,380,179184,250,1955,840,1625107834789,10,0018,00,00,00,00,430,112125,1860,2102448834019548,430,1611397479014841,20,115,2170,4593886178651727,790,1178087776921266,960,1286855067799644,540,1489918025137636,2620,77195530444513
Región de Ñuble,cobquecura,3910,2533939860431686,1700,31447,2520,21975,00,00,230,593,710,3243,110,835,00,00,00,00,50,088,160,385,2800,1642531871318185,880,3452014282547614,340,6986,2480,1377610379609889,960,1237972988846973,1030,884240915270678,420,641540324877304,2760,630530999982548
Región de Ñuble,coelemu,3480,2196929383290507,350,679259444875,1080,2305123222825,10,025,740,18835,570,5759,1640,4859455555555,50,051,00,00,10,01,200,81901888975,1640,146468421008553,570,1903554556973858,60,190,1060,759446018965171,2230,1622768425328065,570,7888524685576181,570,5212168446600319,2680,764042706264526
Región de Ñuble,ninhue,4200,2112711457383099,1830,46839,780,8337,00,00,220,5685,400,5487460725675,2580,4193443778114,00,00,00,00,10,01,230,4965,990,9848363060048585,600,1811604025803802,40,80,3180,4334934470977503,1360,1358083504929247,310,113312567228897,460,1098372652507006,3480,45321720220773
Región de Ñuble,portezuelo,2480,1414456800890021,500,11911,140,109,10,074,150,32418,360,15525,1820,7921806240369,00,00,00,00,10,001,40,195,480,6923162837502185,110,1416232454056844,90,213860400615,1500,23244345985418,470,552488869211305,200,838843259802681,270,575439260935434,1790,391648264751559
Región de Ñuble,ránquil,3470,117093195917344,250,75981,90,645,00,00,890,77187,1050,114676,2660,637142,10,02,00,00,10,0071,190,659,990,6256575427222806,320,1109769999326926,00,00,300,36703000000867,2110,1186867165572923,460,1008739999845152,390,4623529998066379,2800,340376999951286
Región de Ñuble,treguaco,2080,1298988725447473,1040,1898,550,8083,00,00,20,25,180,765,1030,22025,00,00,00,00,10,002,30,39,600,858609061841218,90,1590612926812072,90,198,330,221161547830334,1420,986574583782111,620,37452873578822,250,328875210607883,1050,3772936312419309
Región de Ñuble,san_carlos,15410,5349988696537411,6030,79124830154925,1630,73375,460,152975,2540,627465,4330,1838903,480,7972714285725,80,2949,490,65165,160,68925,3420,27841008508016,940,7343826519042233,570,865951313082831,1250,306696781751,9750,2137783497405357,1830,1395856508043854,850,609029324065073,1810,1554133637968974,11250,105658386245622
Región de Ñuble,coihueco,9350,9478607829207853,3850,7026258731414901,1390,389947,360,84596,1830,6838004999999999,5280,4122268860911371,10,06944444445,20,036,120,2373,140,32732,1800,188789,1120,2903265779412853,1140,3329311771498212,700,16033471942447,4690,6364771225678408,1330,2047859992045853,1250,1622084543982418,1250,3326699113608944,6620,2268329176636766
Región de Ñuble,ñiquén,9740,2925980607797535,5660,50484048385172,1270,209401,110,1294,1550,2113031,2270,157974,30,117048929664,00,00,30,420,20,22,1720,12318941491984,290,5538370968027444,740,1689417583008258,1030,109324818249,6170,882967148662209,1380,1547495408698318,460,706527157844964,1200,714040042148832,7390,674987268453444
Región de Ñuble,san_fabián,3260,1143519974118027,330,93625,440,4383,00,00,2020,11043,1920,86624,10,01,160,0488,00,00,30,2262,480,50545,380,897545886067842,1690,8298851584110183,500,346327,2650,1031302164910749,680,961043126752725,770,348169631602909,770,6599622097050036,2650,4372425210831
Región de Ñuble,san_nicolás,7640,3959956582601823,1990,35741841459903,440,14113,30,3290,1820,145924,1440,116875477419355,2180,64018780288605,30,007600000000000001,50,920,60,4718,1200,57768,1020,9802859868583813,200,1103997150969031,770,103353682733,5600,1474933376328929,1920,3068923457759405,550,1219953286540017,550,125741928656757,6450,689887461909204
Región del Biobío,total_región,124480,1358582104013841,32250,43920611,31560,3491791,1210,7200952,45700,25649549,31020,9924933,6500,2002192,1560,383425,580,1731625,1240,1257686,26710,17295652,48940,6086598250016192,33300,2760125370032977,8510,1345946,74440,94504633,36100,1325858970061249,27440,492629090031113,28800,6679433899975647,102800,2900568199993141
Región del Biobío,concepción,590,1045315749191074,20,20,80,213,00,00,350,169145,300,14227,30,1102,30,0025,00,00,30,0467,30,72,320,6234306532650635,280,1853025613392252,00,00,250,33750999985035,210,23203367778288,180,119438500060434,240,202180167239476,510,355651000390804
Región del Biobío,florida,4650,2684118281274959,450,3589,590,34571,00,00,2070,647895,1820,194607,1260,189117,90,01922,00,00,180,673,120,592,2520,1501689909375107,1530,3076042197141398,130,12621,1570,1363705610645324,2560,1475894708328023,1660,2680166426725444,1270,1273593712141125,2810,920564364017197
Región del Biobío,penco,540,402351899949735,40,58,190,6112,00,00,280,18706,120,284,00,00,00,00,00,00,00,00,20,20,400,2552069896858167,200,600389997049824,10,20,120,170690000089795,190,6113710560032,130,40991800024456,80,46289999873954,430,14556599978073
Región del Biobío,san_pedro_de_la_paz,340,4260319991191122,10,11,20,09500000000000001,00,00,250,50142,00,00,00,00,00,00,00,00,30,054,10,025,60,2393546918088283,20,4564224300816341,00,00,60,3399,30,1042330642667541,50,253540000029468,20,1834,190,25674000324196
Región del Biobío,santa_juana,5760,6045155978524873,1120,7437,3650,150227,00,00,4250,684792,2670,168092,690,56445,20,005180000000000001,00,00,30,00326,1240,220955,3580,3722260580776187,1880,110697787906833,80,655,2680,1098301208849646,2460,7378050870619645,2080,989801061485288,1930,402611998131438,5260,154520744771753
Región del Biobío,tomé,2420,237762193310694,330,2897,1160,50602,00,00,1410,126971,1250,43541,220,30942,190,1625,20,0303,20,0014,190,326,1400,1578015482476908,960,3217110392583382,90,1751,640,653045612184709,1670,991324024573225,1070,1117265427757814,870,830445012391009,2190,968069936810177
Región del Biobío,chiguayante/hualqui,4090,3318072016112739,510,543,1870,78235,00,00,3120,52952,2130,55525,760,30825,200,0371,00,00,110,12,300,5685,2120,175308927191272,930,5619434565117418,40,150,1670,9892495846914,2570,4137334980953416,2110,298777518110284,1210,914309852958688,3200,65646527717643
Región del Biobío,coronel/lota,1140,2397045950323584,80,7001,260,29541,00,00,510,252515,210,5581,00,00,20,022,00,00,60,8540000000000001,270,42681,420,1551539762862548,170,3340698171143656,20,1150,580,1467095000076615,340,1327160203626363,140,384119999902616,170,142798999853154,890,1175245000007948
Región del Biobío,talcahuano/hualpén,240,462686799997636,00,00,00,00,00,00,80,85,10,05,00,00,00,00,00,00,10,01,10,10,60,132469248509844,50,15397331717924,20,3460,150,76107,10,136141492364,60,47227,70,67200278277504,210,885398
Región del Biobío,lebu,2590,4148699699916068,540,139275,1180,145695,00,00,650,20146,310,1354,00,00,10,0001,00,00,00,00,220,628,1780,2343834600443717,950,7533602810065348,170,8725,2010,3585136097426704,760,715748161186975,1170,2387684999463132,1010,230696408233927,1850,1050807844242084
Región del Biobío,arauco,5310,7149102538724722,130,889,1810,21158,00,00,340,75194,330,13209,00,00,60,1159,00,00,10,0002,570,3341,3760,3743650932957282,2100,1276296817551648,170,19895,4440,8631980000133435,1080,1494267015684507,2010,5375973000810608,1390,2189559870833591,2720,2744348594695782
Región del Biobío,cañete,9190,6653843199515594,5460,14940559375,6650,987918,30,1140703125,2230,33875,1550,51316,00,00,120,1714,10,05,40,0319,1650,48453,3690,2587332017017123,1870,1880171593706581,280,150608,5660,474799949986392,2660,7618910271996132,1300,162497699935169,1230,2891376199937143,8090,1661226666770017
Región del Biobío,contulmo,1180,314876850128049,50,46,580,2496,00,00,510,5212,500,15646,00,00,40,0568,00,00,00,00,10,30,670,1889588863741596,410,5307263853040114,100,6424,760,49245199999042,170,4168752087045345,140,149305999759978,300,1671515692399468,980,68428074315361
Región del Biobío,curanilahue,1720,8526706160601827,30,70,260,1848,00,00,240,64226,240,8583,00,00,00,00,00,00,00,00,90,130,1340,5582181493568191,1360,1886657996019053,50,24375,1110,536925714330605,100,4350009521149733,350,2571547142932442,330,395196946872328,1320,2647126784860718
Región del Biobío,los_álamos,2820,4181835400126408,1280,3194,1880,40497,00,00,350,7199,220,2505,00,00,00,00,00,00,10,20,90,306,1550,2072544961804571,880,1464191056163577,310,718,2200,1874951999948345,290,26630242171625,770,1218930000066298,1390,908718992108956,2030,1321071407742744
Región del Biobío,tirúa,4050,2694392599673207,1460,22215,2430,22124,00,00,1140,1593,660,31905,00,00,50,0906,00,00,00,00,510,11391,2860,1384853126055788,1200,328261785005081,570,11629,2610,1342710000070285,1710,6197389172096619,1080,602724000414152,840,6518914568475,3390,29573125669483
Región del Biobío,los_ángeles,22600,1119944487858665,7280,1612116523326162,2650,773867,670,3655673041774795,7410,9063451,3920,40793558382852,100,3343,190,37665,350,9153748233775,360,84789,7480,75821679495808,4060,4009956489731289,2410,3588438101658188,2660,33143569091364,11620,9662166237571522,5320,9481015257610397,3150,3278015438675802,5100,3828345913355134,18660,4586611544266262
Región del Biobío,antuco,1120,6876259000813075,220,47431,130,3108,00,00,450,4516,240,95578,00,00,00,00,00,00,20,0104,200,5295999999999999,220,1400064863820843,510,3099778559060459,20,75,550,1696156199992471,300,147141416208732,420,620767,550,1788003413737425,780,67398000197628
Región del Biobío,cabrero,3070,4203498114559224,510,17882803595786,310,6092,50,3008696875,1050,113898,330,214173,30,1354,10,03,20,844683682093,00,00,640,65114,1040,2259465151138218,280,181126880470736,310,14758527615076,1750,3360076966085648,930,6639183004683933,500,438398711175958,1330,1627766044306424,2600,738333926455224
Región del Biobío,laja,3540,216819550015049,490,523222,190,5495,00,00,1690,46225,1840,345038,560,51231,40,017,10,0002,50,0142,440,98656,1250,1082956662351698,750,1945515589176338,510,39182,2090,203432099997458,1490,3780554790037053,890,312327999580576,510,116183999939006,3250,31357999928036
Región del Biobío,mulchén,6870,1415274043705891,2240,8643295120189245,320,19971,210,1992326153845805,1740,55626,1880,162336115841668,70,70206017258644,90,0154,60,45054,50,4035,1510,16008817731486,3200,6192128279349898,1470,2433951160116155,630,3678475,4320,5345529327620838,1410,2453849504811574,730,2925411191979152,1670,230497505234128,6040,1381473977684785
Región del Biobío,nacimiento,5640,5857746749293741,600,44016,630,32885,20,131,1940,825074,1320,10884,370,4122,30,021,30,230,30,55,320,8864,3350,3039704836214404,2910,911312331100855,110,3555,3260,1728710809183504,1930,1357445994758723,2120,1564573459335066,1760,673452275477008,4360,65448692820201
Región del Biobío,negrete,3810,1096201641166282,1560,262690795672724,340,23124,40,11375,1320,524184,550,62154384158332,10,35649982741356,10,009,30,1380,30,7032,1100,4789862781288,690,1724243572707677,240,314259613684364,520,31355,2160,20882165663182,550,1017135682397902,220,3525960706506,660,233672229185216,3110,499990372865941
Región del Biobío,quilaco,3140,6935635173864297,790,7286916531548,290,5408,40,891079416524,1270,78902,970,4960552448418,00,00,20,051,30,543889789272,10,0019,1050,2964949793672,950,1199293159840244,1740,3713896169553432,320,2921,2300,2615798290260464,1240,4622485921258302,360,5667022834836862,690,4934430151966758,2790,414055248440434
Región del Biobío,quilleco,5480,7623951914455925,1720,33874349634695,90,2352,70,636702862727,1010,5391125,550,174978916873,10,0025,30,250,30,56147829486,10,20,1050,471466118498,2050,3187356174596802,1800,1851139400564097,470,1565253329356,4540,6864975701337358,910,6845398233961165,680,1226256054333192,960,306895658548382,4600,967335297425234
Región del Biobío,san_rosendo,770,8798250072739156,210,3065,100,3613,00,00,370,2444,190,5079,220,15114,10,0014,00,00,00,00,30,65,320,4991279383254981,170,780308225522984,60,91,190,219557251652038,470,2425170286199779,380,143068110427566,160,136569717115564,610,29783098566244
Región del Biobío,santa_bárbara,6360,7054167199291984,2060,2277239776119,370,13145,40,1110,2410,2032569,1500,423181,10,05,10,0001,00,00,20,04,1700,9217909012766,2170,2673322825729911,2980,1628194145624665,390,68234,5160,5803736066681251,790,6243785393550706,920,354895836354063,1130,6494324315046,5890,8028435631598979
Región del Biobío,tucapel,4060,5068292700973302,1340,3700711,760,17157,60,1740,950,21489,920,205872,10,075,00,00,00,00,20,059,1230,45066,1460,2707572774601738,1530,7458243898304654,260,13595,3090,416165400004619,370,5425086364388395,1010,85563300045651,490,38901500014854,3140,610388000371364
Región del Biobío,yumbel,8380,3600216776457338,1960,77608,1900,133367,30,0352,4350,868006,4240,881355,2180,357531,290,1294,30,89,100,0513,1660,1063589,3090,172473007836808,2210,2006248488110242,180,208329,3940,3869896455192149,4440,6337429380174925,2070,1415527527468718,2190,1099576811315327,6900,508077718631229
Región del Biobío,alto_biobío,5710,34802866,110,2152,890,90,00,00,2000,2769,350,636,00,00,00,00,00,00,10,07,3090,31837,150,10168947,620,11142002,70,75,3730,170162,40,5055,250,249397,230,8505747,5330,34889
Región de La Araucanía,total_región,365520,191016797394177,138550,1611052569999695,85300,123902499999993,7640,256756399999993,142340,4314335188,104730,15968605,510,93092,2630,1187878,670,1139755999989,1920,2622042,58180,280044,137600,4360720959619504,129620,5272883030014342,43770,5702196,300800,2944012138000609,46770,9803726898954774,95360,6845652100001564,69560,1543354460007782,296940,25482838000026
Región de La Araucanía,temuco,20140,3104766808595154,10510,40638495241266,3610,304556,530,3339886410656,10900,257635,8320,303594,00,00,450,8489,10,002,110,9485,1440,564313,9780,9365067482095088,5720,3150450381702772,510,131468,16760,792371758537021,2920,1580494441899458,6220,84317299761181,3060,1227273688528187,17990,980093343551818
Región de La Araucanía,carahue,21540,9108956587176927,10160,37196925234451,11150,152035940118855,220,6385779461367,4710,425800566849106,3070,129787293756472,10,05,90,202429032258,20,09,20,051,2680,62669618013665,12990,3500359318642391,6730,1447334788248683,1540,47094190187327,17920,1516949365501224,2600,7720096370841784,9830,6969867573536948,5380,2752199322839785,18060,146517777691935
Región de La Araucanía,cunco,13740,7807261811967786,3560,5128677705043,790,25507720626633,70,4841891891834,2700,23557777635735,2770,1252687781918113,10,20,00,00,30,1200,40,5092,1960,18869704673775,4050,1543853569624991,9220,1887979591386964,4940,876823810566288,11480,1798244344079686,1500,2350120191627657,3260,2353850873740902,2840,2022130905936769,9320,1348820350008871
Región de La Araucanía,curarrehue,6870,286477778,50,21125,980,22028,10,0002,4180,25097,3360,169194,00,00,10,0012,00,00,10,10,1340,283155,790,315505,6100,18560615,910,694645,5950,48225218,840,482035,2130,1087158,2760,1822684,5160,341001
Región de La Araucanía,freire,19460,5135202760211722,8810,105277054550547,6060,1378686703202817,200,10164735318672,11260,34561402036147,8210,137466956439923,10,025,120,1234,30,265,200,237218131416,3990,20399601702144,4130,282190240234641,6070,5119940532560202,3960,808507758709885,16580,137128340813714,1480,1805177114682906,4050,1005411038048069,2860,938514061352427,15860,1128355526415533
Región de La Araucanía,galvarino,14920,4141203734075998,7790,62124872561944,2210,1224840967742,150,12186151612904,6840,97544483871,3850,2609406231884,50,255,40,005500000000000001,30,550,00,00,980,333929,9980,1896112047903132,2640,1329567594526054,160,1375306293578,11810,7346709277611944,2660,1736101687228858,4830,995567659839586,3100,1948760868412884,10770,65307352343312
Región de La Araucanía,gorbea,8220,4571721137112362,1120,6066197914514112,480,45042443071325,40,324245901639,530,170778408377763,2020,187296635064013,00,00,60,64506,50,18572131147,190,326661868584,550,13082325543794,3150,1280046463907797,3350,5046151751032716,1370,183950965699105,6630,9507634158260793,840,3133723312867816,2580,1532596054050732,1170,787451334951155,6710,747641972839325
Región de La Araucanía,lautaro,19160,6210449586348017,9440,1211116291505712,2230,2695454654960658,720,2094561663935,8270,584644673227858,7450,3302005681211018,60,1279,360,3819,40,2275,160,3624,5170,17454565295401,7460,1493933949289795,5410,9483688692983145,1270,19582062903226,16480,115358258928431,1870,340794131182301,3980,1807091388875869,2790,126887819665469,17460,1062660987607635
Región de La Araucanía,loncoche,13380,6331100750067845,1640,19405927149966,3210,1180576315343,10,10327868852,5230,69679783875349,5350,108098735486305,00,00,30,0314,30,16229508196,80,885,2320,9964712953,4570,1893052982829514,9680,1557553010296209,2990,382353643409585,12000,1198950641958325,1390,3503642088152791,4240,1894173689654824,3100,233673552398888,11130,102513833829513
Región de La Araucanía,melipeuco,3630,3849168750004536,280,851875,560,10763,00,00,1370,145185,1420,70477,00,00,00,00,00,00,10,0002,1280,3748,1380,449811516956004,2640,2158908241846911,500,169002000001212,3220,4127706595992,440,43867,990,115879190750988,1170,4182127976494056,3060,25142543200816
Región de La Araucanía,nueva_imperial,22980,4001346974722433,13280,49114021413005,6350,71020410043885,2110,1399732916903,8320,26779000502882,6500,1964771722890767,20,12,210,1533,60,2101,130,16807,2190,4574285886611,8610,1151519065141144,4350,292945082156573,1160,54103,17510,1047960073352584,4310,3284999133028801,4140,691326448566525,3710,1438175367194314,17190,1169020667310324
Región de La Araucanía,padre_las_casas,27680,1649909169217261,14470,39667156456769,6130,3454162566372,560,510424555783,14560,5491973,8820,5590594594612,20,07,290,6764,30,2075,160,2745,3360,7150330927551,5480,959273127204685,2910,50832329729428,1650,54097797566375,20080,4796776,3610,753304000089261,6070,465519229273061,4420,563405299657656,23130,1234707452676522
Región de La Araucanía,perquenco,6880,2488829199997518,2960,1277446214987182,1050,47285218347575,500,3374103645169808,3480,1834252829929,3350,634603705883,00,00,20,0005,00,00,40,236,560,150561764706,3040,12003131255594,1400,829833840326219,990,998735882354,5280,2759905461803566,380,106919522715,1730,466032068520477,1320,563268684496246,5920,349669682100988
Región de La Araucanía,pitrufquén,16190,4254009044596132,3570,3559705209392889,1820,18128285910715,30,1128129566219,7790,949167371916497,5790,79013850199772,20,05,110,0431,40,6134918032300001,80,7156,2590,19354206139086,5720,9722193659905175,4840,4910473103419102,3890,35910089407377,14340,1264033750066423,1140,1346403270244511,3910,113931529577299,2250,129086562981124,14620,1155779986863462
Región de La Araucanía,pucón,4370,132098421988,40,75,420,13047,00,00,2070,27740988,2030,115487,00,00,00,00,30,201,70,7366,450,46121,430,1288528,3590,100043783,440,1684099,3780,6195402,300,19537,850,881641,1020,12896369,2850,3441
Región de La Araucanía,saavedra,17230,2197409326674775,8230,13711224255598,12900,171664284770525,50,2715220538633,3690,145658420120424,2500,579907266516913,00,00,110,167170967742,50,37,10,005,1630,30966181986335,10890,3208851680625465,3860,873754680755922,1270,60298660897293,15990,1023143834309904,2490,853118661266134,5600,825627435605436,3590,98362101953367,12830,516674833447925
Región de La Araucanía,teodoro_schmidt,20340,4460472322226952,9500,503774597731315,6830,1599559988056775,740,741916520051,3850,5623783333333,3060,15858126480305,50,275,70,186,100,13255,60,177,2720,8900855587392,5840,4662150344866963,6720,3540835340126491,3220,178775585791288,18490,1982314305731717,2270,2793789105967255,4220,71948976271527,4190,177287661406589,15700,8816259970011
Región de La Araucanía,toltén,11620,6479638732855571,1440,46554093490269,3140,314446014456325,00,00,3010,280696,1160,4570652220193,00,00,20,025,00,00,00,00,1880,4399347772203,5290,2534280737652088,4480,1069641778230162,2080,201641721495272,10610,12135072981366,530,3808039386964806,5570,2674268906938807,3900,6120033131626086,8780,709382699103548
Región de La Araucanía,vilcún,15590,7574712557642869,6590,164756926790576,2410,1441513910714284,260,1023451343361,4540,4615369935967542,3990,6870646336206858,00,00,150,47106,30,1793,100,162037,2820,22044697789508,3660,9401068449129669,6330,1713851281037163,2700,56974946924812,12450,1462319180757612,1190,1795888982343191,2140,2737154305196261,2390,78902894460691,12340,1070841945422567
Región de La Araucanía,villarrica,14130,5500911007547351,1220,1442321004690909,2890,862275676512,00,00,8910,986884,6540,98545991932625,10,24,80,12162,10,20,170,16794,2110,12638160017959,2180,4122947244965217,10310,2177596919061667,2380,4626924511833,13150,1777950864615059,570,570508999853432,2350,9312198935443799,1470,609696192293364,10820,6934123027526
Región de La Araucanía,cholchol,9970,1935170577046085,6070,1513237632527,2390,181292478681,90,1725,4640,3484313538468,2440,115736,00,00,140,62,00,00,10,0006500000000000001,890,14605,4260,8553021634765453,2120,1219679438866176,310,6138,7480,3531334407628374,2140,1982667324259751,2800,468496,2380,630689999886292,6360,576233
Región de La Araucanía,angol,5770,7677077556436804,1000,78720593335526,830,45998,60,22838225831394,3200,145197886561781,2880,1031134978135525,40,0613,40,0337,10,941844966435,80,1619,2090,8515784237442,2840,3515320801950471,2260,2013644767118978,250,48319835189391,3650,3702515344634714,1690,1046040571255001,2120,1374732582902326,1510,1608250636365893,4790,651195268572504
Región de La Araucanía,collipulli,6220,877602088437489,2330,35844,370,12241,50,5430,3220,608599,1590,466594,00,00,90,6705,10,05,30,9760000000000002,410,1036,2090,4081803130745029,1650,2164648960058996,550,16006,4280,255068799999579,1320,1015846215352663,1320,4315459430389257,1100,2602972304689913,5780,72038614710705
Región de La Araucanía,curacautín,2810,1425852512950957,960,665229600333638,90,2275,60,907741859584,380,2792,370,5251055687889999,00,00,00,00,00,00,10,31,1070,15046738064516,490,523946213682773,1930,7849126229435248,280,2055257096774,2280,6557565379843206,280,788154849335575,230,6219514000000544,260,3558999385610933,2170,3683838426985
Región de La Araucanía,ercilla,750,2409739402618212,470,38730205145935,70,3292,100,946071166408,70,1749464386129,120,37036609653225,00,00,00,00,00,00,00,00,120,821572633548,210,10968756186753,340,2727206493732211,120,109026,450,36394575921227,160,2490745866075427,110,60989689704414,160,2196867638430008,570,236529373879138
Región de La Araucanía,lonquimay,10570,189936529,40,65,130,11512,00,00,1620,10233,400,10151,00,00,00,00,00,00,10,10,4820,89795,1450,117742,6060,94818431,1510,14064,8680,26679447,2760,4075192,3120,9669383,3180,4993701,8690,12359
Región de La Araucanía,los_sauces,6150,6041223896819275,1770,2106222159558,810,964144049416,30,12970958073,2190,549908701317386,1520,25452532534632,20,38,30,1512,20,265,10,05,1320,1358591992751609,4070,3258527889404909,1980,4985127169797026,310,1111425912994789,4620,8849130787438817,1510,5893556949261529,1460,89930189686986,1160,152057544227538,5030,535075582046984
Región de La Araucanía,lumaco,6680,6525234019765578,1330,8612319381211,1040,836953759398,70,262797197405,2110,559977184994382,530,295407243157,50,225,00,00,00,00,10,20,820,19818205686371,4910,3877253136190254,2350,7362467402073442,140,15677297079089,3940,3260677751352815,1110,8759505226832036,2380,3073515104264038,670,1941159532587603,4770,666533314372171
Región de La Araucanía,purén,7220,2837763831461342,2150,6411813146899,3140,26390064769,10,10,3230,44075662484854,2240,801790932875,50,125,40,0186,30,1375,20,15,1920,6363095981753399,4730,1119895636612945,2640,5050951177265484,220,505835602094,5960,6955350149249407,990,79414422989438,2040,1486479948324142,810,675218394628935,6040,483747172584627
Región de La Araucanía,renaico,2470,1717734485855035,740,158998551931624,360,76518,70,15401774168606,1330,12066044603437,770,903793111857,00,00,10,009,50,1753155033565,70,449,1110,607453898978891,680,706566494262347,120,64008534756067,100,44389253095,1380,2213740637077362,740,2498072881346237,310,121773498971042,350,240905415555195,2100,28047538323731
Región de La Araucanía,traiguén,7360,6300864043979141,3990,134336663524069,920,3974984746544,570,36332168623351,2690,1650148953034192,1610,109225915740473,70,478,50,4363,10,10,10,004,1020,73901125714905,4010,213923564210459,2250,4977198113760305,1460,1575687915377411,5030,7589881716695983,950,3165744071775962,1260,753073837066526,2310,2835587961680188,6530,1205240403135524
Región de La Araucanía,victoria,8620,8602100426469881,5050,2616742295586738,450,1120074403139,700,5543319997446192,1890,5608098973437,1310,819071,20,120,20,05,10,100,50,5765,1140,18912355089824,1530,1864991165473218,2580,877743315487642,1310,15714027577836,5580,6564167428587756,900,5304275143093521,1000,899757482521662,730,8242119056125208,7510,1394534694634214
Región de Los Ríos,total_región,87490,1224008426857959,8840,238695500000463,20700,46237910000156,300,25369200000033,36180,79892035,29180,6297674,100,300,530,557157,80,233075,580,471428,13080,262903770000225,19010,1966092769995307,50670,59495161100703,28240,1297527780001097,68810,88111672,5640,8118227999689358,23120,461140990010237,19400,7608457499996905,75520,194830210005189
Región de Los Ríos,valdivia,3530,6779887519284304,120,860575,810,17111,10,22,1490,23287,1200,67843,10,35,120,9763,30,21,120,8088,340,308555,1290,2472930151077264,2450,2569284634190703,530,30231051970836,2680,3319522000003814,200,1706164434597557,1310,5020684999767917,890,1758837941603596,3090,1245390767106894
Región de Los Ríos,corral,1670,437910991657867,20,055,620,12863,00,00,1060,22289,590,24129,00,00,70,022,00,00,10,0012,60,248,610,1359530428016068,1190,246915456402916,370,168188,1260,54595400000806,150,31128,670,3822399999431729,590,261056999995597,1450,6129792458990449
Región de Los Ríos,lanco,4570,3404075204650178,810,62785,1730,89941,00,00,2470,62164,2410,436393,00,00,10,025,00,00,30,348,1470,17862,1450,1093281394091825,3190,1144031247526882,1480,127268,3900,4490739900285257,270,89123480249406,900,63357672734548,620,441019999993936,3990,93209620019598
Región de Los Ríos,los_lagos,5380,1059671127037623,190,19748264735668,410,503489375,10,1500,1440,33755875,1080,97411714249952,10,08,20,021,00,00,10,0035,550,32995223151124,1270,2468675899792243,3300,4033783303871725,1720,2016292990483495,3920,8145055670561409,130,613198715563144,1050,2362597749857531,870,860206058392486,4680,2314916824234333
Región de Los Ríos,máfil,4090,4876619399895328,200,28250,340,74559,50,29832,680,31102,1270,317023,00,00,10,006,30,137355,10,0045,710,195353,1110,1421829684622069,2720,1406418393647225,1820,590676,2900,3467916000002137,210,1562079740360576,1660,2313605000299663,770,492700000005102,3790,110365847559285
Región de Los Ríos,mariquina,8940,8852573838495156,530,3236982,2760,510761,40,29612,4550,822187,3370,64836,00,00,10,005,10,26,150,18217,730,872702,3070,3286985169324321,5610,2816225081242183,2650,4160425,7690,7240588099702363,1120,1225456143490389,4040,5020028273249264,2830,1860449000006405,8330,2318678662838101
Región de Los Ríos,paillaco,6670,6988548165127712,780,3274317410695576,880,1415191952476,40,32521,1110,34257,970,66018081381248,00,00,30,1225,10,3002,20,05096,730,134966439541,1590,1646030709498445,3810,1534913856035576,3460,178616656660378,4460,6902158575040131,320,434288709746402,1110,2362854230617743,1310,2046483633421941,5410,1378009008678827
Región de Los Ríos,panguipulli,13220,2493569771832727,1610,16707,3360,213141,30,72922,6750,188811,4760,1597376,00,00,50,01922,00,00,80,34232,1990,228022,2150,1696006220836172,10210,159793860084926,1970,612534,11800,1616031700000154,1590,479367014728825,4070,1228082500010953,2660,2738105299999729,9400,349306947514779
Región de Los Ríos,la_unión,12270,1627084706327308,1880,4271889830448256,2060,810825022636536,80,257914544041352,4030,11001625,4960,684424218688,70,117,130,22855,10,10,70,9065,3690,57156588385287,3560,3502714693993498,6630,855491900074864,3170,1323934998196,8880,78280678806085,670,503547438722414,3070,4730534769954801,2830,1409353553680555,11130,2546500856040282
Región de Los Ríos,futrono,5450,9791823966501968,820,640486766148,2680,250945,20,801,3120,6606431818182,1290,18718,10,140,00,00,00,00,10,0004,380,19113844509714,740,3652296524071588,3170,6346799827354875,1340,1118000910172125,4650,711202154083227,380,12481,1500,3176220000000122,1910,4697025457468935,4710,1357694232075542
Región de Los Ríos,lago_ranco,6610,1111615420002271,560,4349239198594,1730,2000258355136,10,28343558298,3190,5464543303497,1500,17511395608395,00,00,00,00,00,00,20,0208,180,46225,1040,601480001401696,3540,7399521458550556,1860,3651894628113,5610,7144097425449606,130,222809999859401,1700,2350809400824511,990,2139594837840194,4820,4692860803497
